"gene_symbol","gene_biotype","seqnames","start","end","strand","domain_start","domain_end","domain_width","promoter_h3k4me3","domain_h3k4me3","promoter_h3k27ac","domain_h3k27ac","promoter_ctcf","domain_ctcf","distal_h3k27ac","regulatory_class"
"GJB6","protein_coding","NC_058368.1",1284741,1294652,"-",1261189,1402902,141714,1,2,0,0,0,2,0,"primed_promoter"
"LOC123380381","lncRNA","NC_058368.1",1284903,1288544,"+",1261189,1402902,141714,0,2,0,0,0,2,0,"no_active_mark"
"LOC123380455","lncRNA","NC_058368.1",1332509,1336705,"+",1261189,1402902,141714,0,2,0,0,0,2,0,"no_active_mark"
"LOC111556713","snRNA","NC_058368.1",1359830,1359936,"+",1261189,1402902,141714,0,2,0,0,0,2,0,"no_active_mark"
"CRYL1","protein_coding","NC_058368.1",1468449,1595790,"-",1595535,1606407,10873,1,2,1,3,1,2,2,"active_promoter"
"LOC109493944","lncRNA","NC_058368.1",1621287,1622799,"-",1606407,1623040,16634,1,3,1,6,1,2,5,"active_promoter"
"IFT88","protein_coding","NC_058368.1",1622872,1756099,"+",1606407,1623040,16634,1,3,1,6,1,2,5,"active_promoter"
"IL17D","protein_coding","NC_058368.1",1764976,1783340,"+",1764884,1765755,872,1,1,1,1,1,2,0,"active_promoter"
"EEF1AKMT1","protein_coding","NC_058368.1",1772187,1814248,"-",1802881,1864472,61592,1,1,1,1,0,2,0,"active_promoter"
"LOC109494068","lncRNA","NC_058368.1",1789896,1810953,"+",1772200,1802881,30682,0,1,0,1,0,2,1,"distal_enhancer_only"
"XPO4","protein_coding","NC_058368.1",1818823,1935085,"-",1934956,1949313,14358,1,1,1,1,1,2,0,"active_promoter"
"LATS2","protein_coding","NC_058368.1",1990585,2067610,"-",2067248,2067818,571,1,1,1,1,2,2,0,"active_promoter"
"LOC109494173","protein_coding","NC_058368.1",2061488,2069481,"+",2001959,2066627,64669,0,1,1,8,0,2,7,"distal_enhancer_only"
"LOC123380672","lncRNA","NC_058368.1",2076205,2083507,"+",2067818,2154024,86207,0,3,0,4,0,2,4,"distal_enhancer_only"
"LOC123380853","protein_coding","NC_058368.1",2100695,2127426,"-",2067818,2154024,86207,0,3,0,4,0,2,4,"distal_enhancer_only"
"SAP18","protein_coding","NC_058368.1",2135021,2160044,"+",2067818,2154024,86207,0,3,0,4,0,2,4,"distal_enhancer_only"
"SKA3","protein_coding","NC_058368.1",2166937,2190146,"-",2186900,2280043,93144,0,3,0,4,0,2,4,"distal_enhancer_only"
"ZDHHC20","protein_coding","NC_058368.1",2201212,2280354,"-",2280043,2280703,661,1,1,1,1,2,2,0,"active_promoter"
"LOC109494403","lncRNA","NC_058368.1",2212608,2222651,"+",2186900,2280043,93144,0,3,0,4,0,2,4,"distal_enhancer_only"
"LOC123380859","lncRNA","NC_058368.1",2280667,2287091,"+",2280043,2280703,661,1,1,1,1,2,2,0,"active_promoter"
"MICU2","protein_coding","NC_058368.1",2308009,2446833,"-",2446707,2467480,20774,1,2,1,2,1,2,1,"active_promoter"
"LOC109494431","lncRNA","NC_058368.1",2447006,2498365,"+",2446707,2467480,20774,1,2,1,2,1,2,1,"active_promoter"
"FGF9","protein_coding","NC_058368.1",2508633,2541902,"+",2508334,2511284,2951,0,0,1,1,2,2,0,"no_active_mark"
"LOC123380866","lncRNA","NC_058368.1",2617454,2657347,"+",2512916,2692701,179786,0,2,1,14,0,2,13,"distal_enhancer_only"
"LOC123382191","lncRNA","NC_058368.1",2684093,2686579,"+",2512916,2692701,179786,0,2,0,14,0,2,14,"distal_enhancer_only"
"LOC111556740","snRNA","NC_058368.1",2923005,2923111,"-",2705076,2944816,239741,0,1,0,0,0,2,0,"no_active_mark"
"LOC123380876","lncRNA","NC_058368.1",3020372,3027275,"+",2944816,3117227,172412,0,0,0,0,0,2,0,"no_active_mark"
"LOC123382251","lncRNA","NC_058368.1",3153452,3158374,"+",3117227,3403452,286226,0,0,0,0,0,1,0,"no_active_mark"
"LOC109492527","lncRNA","NC_058368.1",3219538,3223187,"+",3117227,3469538,352312,0,0,0,0,0,1,0,"no_active_mark"
"LOC109492533","lncRNA","NC_058368.1",3346795,3395889,"+",3117227,3551380,434154,0,0,0,0,0,2,0,"no_active_mark"
"LOC123380895","lncRNA","NC_058368.1",3388599,3424921,"-",3174921,3551380,376460,0,0,0,0,0,1,0,"no_active_mark"
"LOC123380892","lncRNA","NC_058368.1",3429937,3433635,"-",3183635,3551380,367746,0,0,0,0,0,1,0,"no_active_mark"
"LOC109492534","lncRNA","NC_058368.1",3433695,3437397,"+",3183695,3551380,367686,0,0,0,0,0,1,0,"no_active_mark"
"LOC123380919","lncRNA","NC_058368.1",3812770,3819161,"-",3723588,3838588,115001,0,1,0,0,0,2,0,"no_active_mark"
"SGCG","protein_coding","NC_058368.1",3838910,3970838,"+",3838588,3964054,125467,1,1,0,0,1,2,0,"primed_promoter"
"SACS","protein_coding","NC_058368.1",3975336,4061420,"-",4017252,4101538,84287,1,2,0,2,0,2,2,"primed_promoter"
"LOC123381086","lncRNA","NC_058368.1",4155525,4174552,"+",4150998,4173703,22706,0,1,0,0,0,2,0,"no_active_mark"
"TNFRSF19","protein_coding","NC_058368.1",4194192,4287779,"+",4173703,4203915,30213,1,4,1,5,0,2,4,"active_promoter"
"MIPEP","protein_coding","NC_058368.1",4286952,4487510,"-",4483457,4487713,4257,1,1,1,1,1,2,0,"active_promoter"
"LOC111559532","lncRNA","NC_058368.1",4487562,4493451,"+",4483457,4487713,4257,1,1,1,1,1,2,0,"active_promoter"
"LOC101095540","protein_coding","NC_058368.1",4493579,4510104,"-",4505327,4530434,25108,0,1,2,4,0,2,2,"distal_enhancer_only"
"SPATA13","protein_coding","NC_058368.1",4510805,4860077,"-",4821362,4908074,86713,1,2,1,6,0,2,5,"active_promoter"
"LOC123381459","lncRNA","NC_058368.1",4534724,4536240,"+",4530434,4581946,51513,0,2,0,11,0,2,11,"distal_enhancer_only"
"LOC109494916","lncRNA","NC_058368.1",4555546,4562042,"+",4530434,4581946,51513,0,2,0,11,0,2,11,"distal_enhancer_only"
"LOC109494931","lncRNA","NC_058368.1",4661431,4690441,"+",4660701,4777607,116907,1,4,1,20,1,2,19,"active_promoter"
"LOC109494958","lncRNA","NC_058368.1",4907525,4917201,"-",4908074,4969389,61316,0,3,0,2,0,2,2,"distal_enhancer_only"
"LOC111559449","lncRNA","NC_058368.1",4917208,4947063,"-",4908074,4969389,61316,0,3,0,2,0,2,2,"distal_enhancer_only"
"LOC123381472","lncRNA","NC_058368.1",4932383,4938333,"-",4908074,4969389,61316,0,3,0,2,0,2,2,"distal_enhancer_only"
"AMER2","protein_coding","NC_058368.1",4961312,4972004,"-",4969389,4999149,29761,1,2,0,3,0,2,3,"primed_promoter"
"LOC109495032","lncRNA","NC_058368.1",4976198,4984455,"-",4969389,4999149,29761,0,2,0,3,0,2,3,"distal_enhancer_only"
"LOC109495042","lncRNA","NC_058368.1",4998319,5003941,"-",4999149,5022825,23677,0,1,0,0,0,2,0,"no_active_mark"
"MTMR6","protein_coding","NC_058368.1",5007504,5080022,"-",5074493,5080086,5594,1,1,1,2,1,2,1,"active_promoter"
"NUP58","protein_coding","NC_058368.1",5093158,5142554,"+",5092704,5093266,563,1,1,1,1,2,2,0,"active_promoter"
"LOC111559502","protein_coding","NC_058368.1",5146548,5158203,"-",5156966,5259332,102367,1,3,0,0,0,2,0,"primed_promoter"
"LOC123381727","lncRNA","NC_058368.1",5163665,5168392,"-",5156966,5259332,102367,1,3,0,0,0,2,0,"primed_promoter"
"ATP8A2","protein_coding","NC_058368.1",5168261,5801909,"+",5156966,5259332,102367,1,3,0,0,0,2,0,"primed_promoter"
"LOC123381750","lncRNA","NC_058368.1",5201292,5213504,"+",5156966,5259332,102367,0,3,0,0,0,2,0,"no_active_mark"
"LOC109495412","lncRNA","NC_058368.1",5453662,5457281,"-",5430329,5473105,42777,1,1,2,4,0,2,2,"active_promoter"
"LOC111559455","lncRNA","NC_058368.1",5663962,5665475,"-",5539279,5722481,183203,0,1,1,4,0,2,3,"distal_enhancer_only"
"SHISA2","protein_coding","NC_058368.1",5781913,5788152,"-",5776007,5788175,12169,1,1,1,1,2,2,0,"active_promoter"
"LOC101096779","protein_coding","NC_058368.1",5842801,6059430,"-",6059231,6100150,40920,1,2,1,2,1,2,1,"active_promoter"
"LOC123381865","lncRNA","NC_058368.1",5853557,5858042,"+",5805948,5872950,67003,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC123381855","lncRNA","NC_058368.1",5941819,5949458,"+",5872950,5979607,106658,0,0,0,0,0,2,0,"no_active_mark"
"RNF6","protein_coding","NC_058368.1",6066320,6100287,"-",6100150,6120685,20536,1,2,1,2,1,2,1,"active_promoter"
"CDK8","protein_coding","NC_058368.1",6120607,6246767,"+",6100150,6120685,20536,1,2,1,2,2,2,1,"active_promoter"
"LOC109495641","lncRNA","NC_058368.1",6125302,6187890,"-",6121327,6283897,162571,0,4,0,1,0,2,1,"distal_enhancer_only"
"LOC123381963","lncRNA","NC_058368.1",6188654,6192773,"-",6121327,6283897,162571,0,4,0,1,0,2,1,"distal_enhancer_only"
"LOC123381975","lncRNA","NC_058368.1",6260983,6270790,"-",6121327,6283897,162571,1,4,0,1,0,2,1,"primed_promoter"
"WASF3","protein_coding","NC_058368.1",6350317,6486697,"+",6283897,6350652,66756,1,1,2,2,1,2,0,"active_promoter"
"LOC111556724","snRNA","NC_058368.1",6383647,6383753,"-",6350652,6459481,108830,0,1,1,6,0,2,5,"distal_enhancer_only"
"LOC109495851","lncRNA","NC_058368.1",6438606,6443350,"-",6350652,6459481,108830,0,1,0,6,0,2,6,"distal_enhancer_only"
"LOC123382387","lncRNA","NC_058368.1",6518711,6522466,"-",6503211,6631065,127855,0,1,0,0,0,2,0,"no_active_mark"
"GPR12","protein_coding","NC_058368.1",6541860,6545100,"-",6503211,6631065,127855,1,1,0,0,0,2,0,"primed_promoter"
"LOC123382102","lncRNA","NC_058368.1",6741256,6743585,"-",6736334,6916340,180007,0,3,0,8,0,2,8,"distal_enhancer_only"
"LOC123382099","lncRNA","NC_058368.1",6761925,6774616,"-",6736334,6916340,180007,0,3,0,8,0,2,8,"distal_enhancer_only"
"USP12","protein_coding","NC_058368.1",6810965,6917038,"-",6916340,6917053,714,2,1,2,1,3,2,0,"active_promoter"
"LOC123382129","lncRNA","NC_058368.1",6823007,6825410,"+",6736334,6916340,180007,0,3,0,8,0,2,8,"distal_enhancer_only"
"LOC109496069","lncRNA","NC_058368.1",6917433,6921820,"+",6917053,6917821,769,2,2,2,2,3,2,0,"active_promoter"
"LOC111559476","protein_coding","NC_058368.1",6923299,6927879,"+",6917821,6964950,47130,1,3,1,3,0,2,2,"active_promoter"
"LOC102901461","lncRNA","NC_058368.1",6925354,6964733,"-",6917821,6964950,47130,1,3,1,3,1,2,2,"active_promoter"
"RPL21","protein_coding","NC_058368.1",6964885,6982847,"+",6917821,6964950,47130,1,3,1,3,1,2,2,"active_promoter"
"LOC111557008","snoRNA","NC_058368.1",6967973,6968043,"+",6964950,6978171,13222,1,2,1,2,0,2,1,"active_promoter"
"LOC111557034","snoRNA","NC_058368.1",6968308,6968434,"+",6964950,6978171,13222,1,2,1,2,0,2,1,"active_promoter"
"RASL11A","protein_coding","NC_058368.1",6978295,6980882,"+",6978171,6980054,1884,1,1,1,1,1,2,0,"active_promoter"
"LOC123382207","lncRNA","NC_058368.1",7021704,7034459,"-",6986145,7040219,54075,1,4,0,3,0,2,3,"primed_promoter"
"LOC123382227","lncRNA","NC_058368.1",7081445,7084139,"+",7052602,7084140,31539,0,0,0,2,0,2,2,"distal_enhancer_only"
"GTF3A","protein_coding","NC_058368.1",7090829,7111551,"+",7084140,7098758,14619,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC123382271","lncRNA","NC_058368.1",7103496,7105129,"+",7100398,7128175,27778,0,2,0,2,0,2,2,"distal_enhancer_only"
"MTIF3","protein_coding","NC_058368.1",7111495,7128467,"-",7128175,7152800,24626,1,1,1,1,1,2,0,"active_promoter"
"LOC109496316","lncRNA","NC_058368.1",7128982,7133774,"+",7128175,7152800,24626,1,1,1,1,1,2,0,"active_promoter"
"LOC123382282","lncRNA","NC_058368.1",7148226,7152259,"+",7128175,7152800,24626,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC123382316","lncRNA","NC_058368.1",7201383,7205044,"+",7193410,7217849,24440,0,0,0,0,0,2,0,"no_active_mark"
"LOC123382321","lncRNA","NC_058368.1",7205089,7205962,"+",7193410,7217849,24440,0,0,0,0,0,2,0,"no_active_mark"
"LNX2","protein_coding","NC_058368.1",7206971,7288994,"-",7287789,7289503,1715,1,1,1,1,1,2,0,"active_promoter"
"POLR1D","protein_coding","NC_058368.1",7289129,7290804,"+",7287789,7289503,1715,1,1,1,1,2,2,0,"active_promoter"
"LOC111559488","protein_coding","NC_058368.1",7289135,7337078,"+",7287789,7289503,1715,1,1,1,1,2,2,0,"active_promoter"
"LOC123382332","lncRNA","NC_058368.1",7371689,7375259,"+",7289503,7423497,133995,0,1,0,4,0,2,4,"distal_enhancer_only"
"LOC123382340","lncRNA","NC_058368.1",7378220,7404815,"+",7289503,7423497,133995,0,1,0,4,0,2,4,"distal_enhancer_only"
"GSX1","protein_coding","NC_058368.1",7445952,7447281,"+",7438662,7446183,7522,2,2,0,0,1,2,0,"primed_promoter"
"TRNAQ-UUG","tRNA","NC_058368.1",7516953,7517037,"+",7479221,7517376,38156,0,0,0,0,1,2,0,"no_active_mark"
"PDX1","protein_coding","NC_058368.1",7557587,7563458,"+",7517376,7566602,49227,2,4,0,0,0,2,0,"primed_promoter"
"CDX2","protein_coding","NC_058368.1",7596488,7602386,"-",7593953,7615539,21587,1,5,0,1,0,2,1,"primed_promoter"
"URAD","protein_coding","NC_058368.1",7610195,7618517,"-",7615539,7623778,8240,0,0,0,0,0,2,0,"no_active_mark"
"FLT3","protein_coding","NC_058368.1",7628589,7705330,"-",7675575,7705427,29853,1,1,1,2,1,2,1,"active_promoter"
"LOC109496442","protein_coding","NC_058368.1",7705185,7749818,"+",7675575,7705427,29853,1,1,2,2,1,2,0,"active_promoter"
"LOC102901710","lncRNA","NC_058368.1",7738007,7753037,"-",7705427,7754498,49072,1,2,1,2,1,2,1,"active_promoter"
"PAN3","protein_coding","NC_058368.1",7753283,7886649,"+",7705427,7754498,49072,1,2,1,2,0,2,1,"active_promoter"
"FLT1","protein_coding","NC_058368.1",7892558,8071359,"-",7916384,8099397,183014,1,3,1,21,0,2,20,"active_promoter"
"LOC102901737","lncRNA","NC_058368.1",7896240,7904058,"+",7867271,7916384,49114,0,0,0,5,0,2,5,"distal_enhancer_only"
"LOC111559501","lncRNA","NC_058368.1",8101960,8126934,"+",8099397,8102863,3467,1,1,1,1,0,2,0,"active_promoter"
"POMP","protein_coding","NC_058368.1",8215665,8232006,"+",8194055,8235801,41747,1,1,1,8,0,2,7,"active_promoter"
"SLC46A3","protein_coding","NC_058368.1",8241185,8261557,"-",8235801,8261704,25904,1,1,1,2,1,2,1,"active_promoter"
"LOC123382549","lncRNA","NC_058368.1",8261642,8309287,"+",8235801,8261704,25904,1,1,2,2,1,2,0,"active_promoter"
"MTUS2","protein_coding","NC_058368.1",8522442,8916580,"+",8346933,8654977,308045,0,2,0,4,0,2,4,"distal_enhancer_only"
"LOC109496599","lncRNA","NC_058368.1",8533026,8597443,"-",8347443,8654977,307535,0,2,0,4,0,2,4,"distal_enhancer_only"
"LOC109496695","lncRNA","NC_058368.1",8828067,8837937,"-",8791568,8883749,92182,0,1,0,1,0,2,1,"distal_enhancer_only"
"SLC7A1","protein_coding","NC_058368.1",8919975,9011594,"-",9005558,9037336,31779,0,0,0,0,0,2,0,"no_active_mark"
"LOC109496642","lncRNA","NC_058368.1",8980939,8984231,"+",8967657,8999905,32249,0,2,1,5,0,2,4,"distal_enhancer_only"
"LOC109496619","lncRNA","NC_058368.1",9023877,9029968,"+",9005558,9037336,31779,0,0,0,0,0,2,0,"no_active_mark"
"LOC109496645","lncRNA","NC_058368.1",9034190,9056301,"-",9037336,9069285,31950,0,0,0,0,0,2,0,"no_active_mark"
"LOC111559507","lncRNA","NC_058368.1",9056409,9065941,"+",9037336,9069285,31950,0,0,0,0,0,2,0,"no_active_mark"
"LOC109496710","lncRNA","NC_058368.1",9092804,9110938,"-",9109799,9121655,11857,0,1,1,1,0,2,0,"no_active_mark"
"UBL3","protein_coding","NC_058368.1",9125864,9192443,"-",9192373,9192839,467,1,1,1,1,2,2,0,"active_promoter"
"LOC109496855","lncRNA","NC_058368.1",9266979,9281871,"+",9263898,9416044,152147,0,0,0,3,0,2,3,"distal_enhancer_only"
"LOC111559546","lncRNA","NC_058368.1",9331748,9332987,"-",9263898,9416044,152147,0,0,0,3,0,2,3,"distal_enhancer_only"
"LOC123382703","lncRNA","NC_058368.1",9369122,9369749,"+",9263898,9416044,152147,0,0,0,3,0,2,3,"distal_enhancer_only"
"LOC123382768","lncRNA","NC_058368.1",9401639,9407283,"+",9263898,9416044,152147,0,0,0,3,0,2,3,"distal_enhancer_only"
"LOC123382700","lncRNA","NC_058368.1",9465984,9477491,"-",9458952,9529357,70406,0,0,0,1,0,2,1,"distal_enhancer_only"
"KATNAL1","protein_coding","NC_058368.1",9490376,9588502,"-",9588304,9640927,52624,1,3,1,4,1,2,3,"active_promoter"
"LOC102902205","protein_coding","NC_058368.1",9588243,9600032,"+",9543579,9588304,44726,1,1,1,1,1,2,0,"active_promoter"
"LOC111559516","lncRNA","NC_058368.1",9621365,9641431,"-",9640927,9641512,586,1,1,1,1,2,2,0,"active_promoter"
"LOC109497259","lncRNA","NC_058368.1",9651372,9679442,"-",9678517,9693907,15391,1,3,1,5,0,2,4,"active_promoter"
"LOC123382856","lncRNA","NC_058368.1",9679747,9682672,"+",9678517,9693907,15391,1,3,1,5,1,2,4,"active_promoter"
"HMGB1","protein_coding","NC_058368.1",9738599,9744913,"-",9744700,9764637,19938,1,1,1,2,1,2,1,"active_promoter"
"LOC109497262","lncRNA","NC_058368.1",9759362,9767705,"+",9744700,9764637,19938,0,1,0,2,0,2,2,"distal_enhancer_only"
"LOC109497264","lncRNA","NC_058368.1",9763344,9871410,"-",9826751,9871539,44789,1,2,1,1,1,2,0,"active_promoter"
"USPL1","protein_coding","NC_058368.1",9871838,9909210,"+",9871539,9919588,48050,1,3,1,4,1,2,3,"active_promoter"
"TRNAN-GUU","tRNA","NC_058368.1",9919423,9919496,"-",9871539,9919588,48050,1,3,1,4,1,2,3,"active_promoter"
"LOC111559523","lncRNA","NC_058368.1",9924092,9955517,"+",9919588,9968504,48917,0,1,0,4,0,2,4,"distal_enhancer_only"
"ALOX5AP","protein_coding","NC_058368.1",9962092,9992225,"+",9919588,9968504,48917,0,1,0,4,0,2,4,"distal_enhancer_only"
"LOC109497268","lncRNA","NC_058368.1",9971879,9973163,"+",9968504,10005096,36593,0,0,0,0,0,2,0,"no_active_mark"
"LOC123383067","lncRNA","NC_058368.1",10009169,10023224,"+",10005096,10009974,4879,0,0,1,1,0,2,0,"no_active_mark"
"LOC102902594","lncRNA","NC_058368.1",10023776,10033211,"+",10013241,10023959,10719,1,1,2,2,1,2,0,"active_promoter"
"LOC109492552","lncRNA","NC_058368.1",10041909,10047308,"+",10023959,10081604,57646,0,2,0,6,0,2,6,"distal_enhancer_only"
"LOC123383109","lncRNA","NC_058368.1",10086232,10088006,"-",10081604,10217044,135441,0,2,1,4,0,2,3,"distal_enhancer_only"
"MEDAG","protein_coding","NC_058368.1",10117094,10134056,"+",10081604,10217044,135441,1,2,1,4,0,2,3,"active_promoter"
"LOC109497286","lncRNA","NC_058368.1",10139430,10140607,"-",10081604,10217044,135441,0,2,0,4,0,2,4,"distal_enhancer_only"
"TEX26","protein_coding","NC_058368.1",10141205,10196032,"+",10081604,10217044,135441,0,2,0,4,0,2,4,"distal_enhancer_only"
"LOC111559529","lncRNA","NC_058368.1",10190457,10192118,"-",10081604,10217044,135441,0,2,0,4,0,2,4,"distal_enhancer_only"
"LOC123383320","lncRNA","NC_058368.1",10211525,10213865,"+",10081604,10217044,135441,0,2,0,4,0,2,4,"distal_enhancer_only"
"LOC111559531","lncRNA","NC_058368.1",10212269,10237305,"-",10232582,10238868,6287,1,1,1,1,1,2,0,"active_promoter"
"LOC109497276","lncRNA","NC_058368.1",10237462,10253599,"+",10232582,10238868,6287,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC102900692","lncRNA","NC_058368.1",10286390,10287301,"+",10238868,10306378,67511,0,2,0,5,0,2,5,"distal_enhancer_only"
"LOC123383316","lncRNA","NC_058368.1",10287590,10291395,"+",10238868,10306378,67511,0,2,0,5,0,2,5,"distal_enhancer_only"
"LOC102899192","lncRNA","NC_058368.1",10321721,10338235,"+",10306378,10352237,45860,0,1,0,3,0,2,3,"distal_enhancer_only"
"HSPH1","protein_coding","NC_058368.1",10328412,10352486,"-",10352237,10353037,801,1,1,1,1,2,2,0,"active_promoter"
"LOC109497283","lncRNA","NC_058368.1",10354762,10357491,"+",10353037,10382517,29481,1,2,1,2,1,2,1,"active_promoter"
"B3GLCT","protein_coding","NC_058368.1",10381362,10501434,"+",10353037,10382517,29481,1,2,1,2,1,2,1,"active_promoter"
"LOC123383373","lncRNA","NC_058368.1",10382559,10388311,"+",10382517,10392972,10456,1,2,1,2,1,2,1,"active_promoter"
"LOC109497302","lncRNA","NC_058368.1",10417610,10435003,"-",10418090,10615720,197631,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC123383370","lncRNA","NC_058368.1",10460664,10476319,"-",10418090,10615720,197631,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC123383490","lncRNA","NC_058368.1",10539345,10579907,"-",10418090,10615720,197631,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC105260585","lncRNA","NC_058368.1",10581621,10605868,"+",10418090,10615720,197631,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC109497305","lncRNA","NC_058368.1",10583726,10922912,"-",10744016,10929425,185410,0,0,0,2,0,2,2,"distal_enhancer_only"
"RXFP2","protein_coding","NC_058368.1",10972329,11033712,"+",10929425,10975843,46419,0,0,0,1,0,2,1,"distal_enhancer_only"
"LOC123385579","protein_coding","NC_058368.1",11066928,11071580,"-",11071043,11133771,62729,1,1,1,5,1,2,4,"active_promoter"
"FRY","protein_coding","NC_058368.1",11071193,11516759,"+",11071043,11133771,62729,1,1,1,5,1,2,4,"active_promoter"
"LOC102901028","lncRNA","NC_058368.1",11130922,11131825,"-",11071043,11133771,62729,0,1,0,5,1,2,5,"distal_enhancer_only"
"LOC109497331","lncRNA","NC_058368.1",11247005,11254259,"-",11253929,11466326,212398,1,1,2,13,1,2,11,"active_promoter"
"ZAR1L","protein_coding","NC_058368.1",11495313,11556763,"-",11556684,11606169,49486,1,1,1,1,1,2,0,"active_promoter"
"BRCA2","protein_coding","NC_058368.1",11556862,11618012,"+",11556684,11606169,49486,1,1,1,1,1,2,0,"active_promoter"
"N4BP2L1","protein_coding","NC_058368.1",11616381,11650395,"-",11650394,11755748,105355,1,2,1,2,1,2,1,"active_promoter"
"LOC101080934","protein_coding","NC_058368.1",11655821,11729939,"-",11650394,11755748,105355,1,2,1,2,0,2,1,"active_promoter"
"PDS5B","protein_coding","NC_058368.1",11763353,11959252,"+",11755748,11763637,7890,1,1,2,2,1,2,0,"active_promoter"
"LOC109497366","lncRNA","NC_058368.1",12021620,12054169,"+",12016920,12034911,17992,1,1,1,5,0,2,4,"active_promoter"
"LOC109497357","lncRNA","NC_058368.1",12058832,12062144,"+",12034911,12065665,30755,0,0,2,5,0,2,3,"distal_enhancer_only"
"KL","protein_coding","NC_058368.1",12160600,12206859,"+",12075950,12160742,84793,0,0,1,7,1,2,6,"distal_enhancer_only"
"LOC109497379","lncRNA","NC_058368.1",12163392,12166934,"-",12166928,12248789,81862,0,5,3,16,1,2,13,"distal_enhancer_only"
"LOC109497405","lncRNA","NC_058368.1",12217503,12223525,"-",12166928,12248789,81862,0,5,0,16,0,2,16,"distal_enhancer_only"
"STARD13","protein_coding","NC_058368.1",12237712,12422788,"-",12419723,12442741,23019,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC123383743","lncRNA","NC_058368.1",12247896,12256086,"+",12166928,12248789,81862,0,5,2,16,0,2,14,"distal_enhancer_only"
"LOC109497406","lncRNA","NC_058368.1",12472034,12474382,"-",12442741,12474994,32254,1,1,2,3,1,2,1,"active_promoter"
"LOC123385589","protein_coding","NC_058368.1",12474497,12476280,"+",12442741,12474994,32254,1,1,2,3,1,2,1,"active_promoter"
"RFC3","protein_coding","NC_058368.1",12903758,12936116,"+",12885601,12903903,18303,1,2,1,2,1,2,1,"active_promoter"
