"gene_symbol","direction","module","retained"
"NOD1","up","5",FALSE
"RIN1","up","3",FALSE
"PRR16","up","1",FALSE
"KLF10","up","5",FALSE
"STEAP3","up","5",FALSE
"MYBPC2","up","5",FALSE
"UGCG","up","14",FALSE
"PLAAT3","up","3",FALSE
"LIF","up","12",FALSE
"NCAPG2","up","9",FALSE
"PPP1R13L","up","3",FALSE
"CE2H19orf33","up","3",FALSE
"EGR2","up","12",FALSE
"LOC101082667","up","5",FALSE
"RELN","up","11",FALSE
"PMEPA1","up","3",FALSE
"GREM2","up","3",FALSE
"PAQR4","up","3",FALSE
"KIAA1210","up","9",FALSE
"KRT7","up","3",FALSE
"CBFB","up","8",FALSE
"NOL10","up","5",FALSE
"GLIPR2","up","4",FALSE
"LOC102902050","up","13",FALSE
"ARL6IP5","up","5",FALSE
"SVIL","up","10",FALSE
"LOC101081428","up","8",FALSE
"CD69","up","2",FALSE
"EVI2A","up","4",FALSE
"ABCA8","up","1",FALSE
"SRGN","up","4",FALSE
"PFKFB3","up","9",FALSE
"LOC101096188","up","10",FALSE
"WFDC1","up","9",FALSE
"RNF112","up","1",FALSE
"SBNO2","up","1",FALSE
"MRAS","up","4",FALSE
"COL5A2","up","1",FALSE
"SLC46A2","up","18",FALSE
"LOC101092190","up","10",FALSE
"GJB3","up","7",FALSE
"MSMP","up","10",FALSE
"GPER1","up","6",FALSE
"SLC26A9","up","5",FALSE
"CTNNBIP1","up","6",FALSE
"FCGR2B","up","4",FALSE
"CSF1R","up","10",FALSE
"IL10RA","up","4",FALSE
"CST7","up","4",FALSE
"PTP4A1","up","8",FALSE
"C1QC","up","10",FALSE
"CB3H15orf48","up","5",FALSE
"PTPRJ","up","16",FALSE
"CD14","up","10",FALSE
"SLCO4A1","up","12",FALSE
"TNFRSF1B","up","3",FALSE
"ERN1","up","13",FALSE
"TEAD3","up","5",FALSE
"ZYX","up","6",FALSE
"DRAM1","up","4",FALSE
"CDKN1A","up","10",FALSE
"LOC105260590","up","5",FALSE
"SPTLC2","up","16",FALSE
"HTR1D","up","1",FALSE
"ZBTB39","up","8",FALSE
"CD80","up","4",FALSE
"LOC111558945","up","3",FALSE
"EMILIN2","up","4",FALSE
"DUOX1","up","1",FALSE
"SPP1","up","5",FALSE
"SSH2","up","9",FALSE
"LOC111560177","up","12",FALSE
"ADCY4","up","3",FALSE
"HORMAD2","up","14",FALSE
"SLC20A1","up","16",FALSE
"CEBPD","up","12",FALSE
"SFN","up","7",FALSE
"ALOX5AP","up","4",FALSE
"LXN","up","1",FALSE
"RAB3D","up","3",FALSE
"ANKRD1","up","3",FALSE
"NEK6","up","4",FALSE
"IL4R","up","12",FALSE
"LUM","up","1",FALSE
"SPAG1","up","16",FALSE
"RAB31","up","1",FALSE
"GPC4","up","16",FALSE
"DNASE1L1","up","4",FALSE
"TREM1","up","12",FALSE
"PLAUR","up","10",FALSE
"FAM3D","up","16",FALSE
"PNPLA2","up","3",FALSE
"CD300A","up","5",FALSE
"LOC101093204","up","10",FALSE
"LOC102902635","up","4",FALSE
"HHIPL1","up","10",FALSE
"HERC5","up","1",FALSE
"SYT11","up","1",FALSE
"GLIPR1","up","4",FALSE
"PLA2G12A","up","1",FALSE
"FADS3","up","3",FALSE
"FBLN1","up","1",FALSE
"GALNT6","up","3",FALSE
"COL8A1","up","9",FALSE
"CKAP4","up","3",FALSE
"ZFP36L2","up","1",FALSE
"PDCD1","up","4",FALSE
"COL16A1","up","1",FALSE
"UPP1","up","5",FALSE
"LOC111560178","up","12",FALSE
"LOC101088902","up","6",FALSE
"FBLIM1","up","1",FALSE
"SOAT2","up","1",FALSE
"DNM1","up","4",FALSE
"HTRA3","up","1",FALSE
"CYP27C1","up","5",FALSE
"TLR2","up","10",FALSE
"LOC101088468","up","10",FALSE
"PODN","up","3",FALSE
"ADAMTSL4","up","1",FALSE
"AOAH","up","4",FALSE
"TFPI2","up","3",FALSE
"LOC102902249","up","4",FALSE
"GAS7","up","4",FALSE
"ANXA2","up","3",FALSE
"TMOD1","up","6",FALSE
"HYAL2","up","4",FALSE
"CREB3L1","up","1",FALSE
"GLUL","up","6",FALSE
"TLR8","up","10",FALSE
"ANKS1B","up","9",FALSE
"ADGRG2","up","5",FALSE
"MIDN","up","12",FALSE
"TBXAS1","up","10",FALSE
"MSR1","up","10",FALSE
"CDC42EP1","up","6",FALSE
"ISM1","up","4",FALSE
"FHL1","up","1",FALSE
"PMAIP1","up","4",FALSE
"CD53","up","4",FALSE
"NFKBIA","up","6",FALSE
"MEFV","up","1",FALSE
"CCR1","up","4",FALSE
"TRIM14","up","17",FALSE
"FLT3","up","9",FALSE
"NAMPT","up","8",FALSE
"TIFAB","up","12",FALSE
"ARHGAP22","up","4",FALSE
"LOC101094593","up","4",FALSE
"GNL3","up","12",FALSE
"MTHFD2","up","1",FALSE
"GPRC5A","up","5",FALSE
"COL5A1","up","1",FALSE
"RARRES1","up","1",FALSE
"ELN","up","1",FALSE
"PTN","up","6",FALSE
"LOC102899466","up","5",FALSE
"ADAMTS2","up","1",FALSE
"RUNDC3A","up","5",FALSE
"MAST2","up","3",FALSE
"CD44","up","3",FALSE
"DTX1","up","3",FALSE
"CLDN1","up","5",FALSE
"SFRP5","up","9",FALSE
"SEC24D","up","9",FALSE
"ZNF516","up","5",FALSE
"WDR75","up","9",FALSE
"ANXA3","up","5",FALSE
"SCARB2","up","1",FALSE
"PLAC9","up","4",FALSE
"MMP7","up","3",FALSE
"ALOX5","up","5",FALSE
"UNC5CL","up","8",FALSE
"FAM110B","up","3",FALSE
"SHISAL1","up","1",FALSE
"MYORG","up","14",FALSE
"CDKN2B","up","3",FALSE
"KBTBD8","up","11",FALSE
"LOXL4","up","1",FALSE
"CCDC86","up","6",FALSE
"CSTB","up","4",FALSE
"RASSF1","up","3",FALSE
"TXNIP","up","8",FALSE
"ELF3","up","5",FALSE
"CLDN3","up","3",FALSE
"MCEMP1","up","4",FALSE
"CCR5","up","4",FALSE
"JAK2","up","11",FALSE
"REM2","up","10",FALSE
"PXDN","up","14",FALSE
"PRPH","up","3",FALSE
"TAGAP","up","4",FALSE
"ZBP1","up","2",FALSE
"DOC2B","up","1",FALSE
"SYNJ2","up","1",FALSE
"CCL21","up","7",FALSE
"SCN1B","up","10",FALSE
"TRIM35","up","3",FALSE
"C1S","up","1",FALSE
"INHCA","up","5",FALSE
"TRIB3","up","10",FALSE
"ADAMTS4","up","9",FALSE
"ADAMTSL3","up","1",FALSE
"KPNA2","up","9",FALSE
"BCL3","up","12",FALSE
"CA2H3orf14","up","1",FALSE
"VASP","up","6",FALSE
"CYSLTR1","up","2",FALSE
"SLC39A14","up","8",FALSE
"IFI6","up","17",FALSE
"FN1","up","1",FALSE
"LZTS1","up","17",FALSE
"TRANK1","up","1",FALSE
"GNG10","up","10",FALSE
"SH3PXD2B","up","1",FALSE
"DUOXA1","up","1",FALSE
"HAVCR1","up","5",FALSE
"TLCD4","up","2",FALSE
"SUN2","up","9",FALSE
"NPTXR","up","6",FALSE
"ACTB","up","6",FALSE
"SAMD9L","up","17",FALSE
"MILR1","up","10",FALSE
"LOC101093795","up","9",FALSE
"LOC102900020","up","4",FALSE
"BRSK1","up","4",FALSE
"BAZ1A","up","10",FALSE
"PDGFD","up","12",FALSE
"SCUBE2","up","1",FALSE
"ARHGEF5","up","5",FALSE
"IL18R1","up","4",FALSE
"UBASH3B","up","4",FALSE
"IFI44L","up","17",FALSE
"ENC1","up","12",FALSE
"RBMS1","up","14",FALSE
"PIK3R5","up","2",FALSE
"IL1RL2","up","1",FALSE
"AGT","up","5",FALSE
"GPR171","up","10",FALSE
"AHNAK2","up","3",FALSE
"ZFAND5","up","8",FALSE
"COL1A1","up","1",FALSE
"MYBL1","up","5",FALSE
"FCAR","up","12",FALSE
"FHOD1","up","3",FALSE
"LOC101093286","up","13",FALSE
"ARSB","up","11",FALSE
"NRBP2","up","5",FALSE
"ARRDC4","up","5",FALSE
"FLNC","up","1",FALSE
"NEU3","up","10",FALSE
"WEE1","up","5",FALSE
"OLR1","up","10",FALSE
"CD96","up","2",FALSE
"PLXNC1","up","4",FALSE
"HTR7","up","9",FALSE
"LOC100169654","up","4",FALSE
"RIPK3","up","2",FALSE
"ANXA1","up","3",FALSE
"TSKU","up","17",FALSE
"GPM6B","up","1",FALSE
"PLXNA1","up","5",FALSE
"LOC109501870","up","14",FALSE
"MDFI","up","3",FALSE
"KCNN4","up","4",FALSE
"DCTD","up","3",FALSE
"TNFRSF1A","up","9",FALSE
"ZDHHC14","up","3",FALSE
"GPR34","up","11",FALSE
"PLPP5","up","4",FALSE
"ACER2","up","11",FALSE
"COL13A1","up","9",FALSE
"SAMSN1","up","4",FALSE
"LOC102901427","up","4",FALSE
"PEAR1","up","1",FALSE
"LOC111557763","up","3",FALSE
"MID1IP1","up","3",FALSE
"GREM1","up","1",FALSE
"SMOX","up","14",FALSE
"LOC101090330","up","10",FALSE
"KIF21B","up","2",FALSE
"MPEG1","up","10",FALSE
"PHF19","up","6",FALSE
"EVI2B","up","2",FALSE
"GFOD1","up","9",FALSE
"ENDOD1","up","4",FALSE
"C1R","up","1",FALSE
"SOAT1","up","1",FALSE
"ADGRD1","up","1",FALSE
"LTF","up","3",FALSE
"ITIH4","up","14",FALSE
"CMKLR1","up","1",FALSE
"KLF2","up","3",FALSE
"B4GALT6","up","2",FALSE
"IL13RA1","up","1",FALSE
"MMP13","up","5",FALSE
"CASP8","up","10",FALSE
"SPARCL1","up","1",FALSE
"CHRD","up","1",FALSE
"ACKR1","up","2",FALSE
"TBL2","up","16",FALSE
"GNAL","up","10",FALSE
"CCN4","up","14",FALSE
"SIGLEC1","up","17",FALSE
"LOC105260977","up","4",FALSE
"S100A11","up","3",FALSE
"C1QTNF5","up","4",FALSE
"ZFHX2","up","5",FALSE
"YWHAH","up","6",FALSE
"SLCO2B1","up","1",FALSE
"PADI1","up","18",FALSE
"SGCB","up","1",FALSE
"CDRT1","up","15",FALSE
"CLIC1","up","3",FALSE
"MYO1H","up","13",FALSE
"FAM20A","up","1",FALSE
"MS4A7","up","10",FALSE
"CAV1","up","7",FALSE
"TNFSF13B","up","1",FALSE
"INPP4B","up","13",FALSE
"TMEM185B","up","16",FALSE
"LOC111556173","up","4",FALSE
"AP2A1","up","6",FALSE
"ZBBX","up","5",FALSE
"LOC101089059","up","6",FALSE
"NR1H3","up","12",FALSE
"SH2D4B","up","8",FALSE
"ATP8B4","up","4",FALSE
"PLCXD2","up","5",FALSE
"MFAP4","up","1",FALSE
"FICD","up","2",FALSE
"ISG20","up","2",FALSE
"NBL1","up","7",FALSE
"FAR2","up","1",FALSE
"MYD88","up","6",FALSE
"KRT16","up","7",FALSE
"UST","up","10",FALSE
"TAP1","up","4",FALSE
"IER2","up","6",FALSE
"MAPRE1","up","9",FALSE
"FRMD4A","up","1",FALSE
"FKBP10","up","1",FALSE
"H6PD","up","5",FALSE
"IQGAP1","up","10",FALSE
"TNFRSF6B","up","2",FALSE
"SLC12A4","up","3",FALSE
"AMY2B","up","13",FALSE
"ANXA5","up","3",FALSE
"SYNC","up","5",FALSE
"GRID1","up","6",FALSE
"ASTE1","up","7",FALSE
"LOC109497364","up","3",FALSE
"MMD","up","1",FALSE
"KDELR3","up","1",FALSE
"CDR2L","up","1",FALSE
"DNAH5","up","5",FALSE
"MMP14","up","3",FALSE
"LTBP1","up","1",FALSE
"MTCL1","up","5",FALSE
"LOC101094113","up","6",FALSE
"TUBB2A","up","5",FALSE
"LRRC3","up","4",FALSE
"SLC16A5","up","7",FALSE
"CSF1","up","4",FALSE
"AMPD2","up","3",FALSE
"TAGLN2","up","3",FALSE
"LOC101096402","up","6",FALSE
"TEAD4","up","1",FALSE
"CTXND1","up","6",FALSE
"KIAA1755","up","4",FALSE
"SHF","up","3",FALSE
"ARL4C","up","4",FALSE
"MUC5B","up","5",FALSE
"IRAK4","up","1",FALSE
"RHNO1","up","6",FALSE
"OASL","up","17",FALSE
"SOCS3","up","12",FALSE
"PTK2B","up","4",FALSE
"ITGA10","up","1",FALSE
"NOP2","up","6",FALSE
"CFP","up","2",FALSE
"FCGR1A","up","4",FALSE
"SCN9A","up","5",FALSE
"ARPC5","up","1",FALSE
"HACD4","up","4",FALSE
"C7","up","1",FALSE
"ACTG1","up","6",FALSE
"VARS1","up","9",FALSE
"IFNAR1","up","11",FALSE
"LTBR","up","6",FALSE
"TACSTD2","up","7",FALSE
"PIAS3","up","14",FALSE
"APOE","up","3",FALSE
"LRP1","up","1",FALSE
"C3AR1","up","10",FALSE
"LMNA","up","6",FALSE
"PMP22","up","3",FALSE
"TOP2A","up","7",FALSE
"SLC45A3","up","5",FALSE
"PRR18","up","5",FALSE
"MYOF","up","5",FALSE
"ABCA6","up","4",FALSE
"DGKQ","up","8",FALSE
"CD276","up","7",FALSE
"POLR3E","up","5",FALSE
"HMGB2","up","3",FALSE
"LOXL2","up","3",FALSE
"AXIN2","up","7",FALSE
"IL17RA","up","10",FALSE
"TRIM55","up","5",FALSE
"SLC2A6","up","4",FALSE
"LOC111558116","up","2",FALSE
"C6","up","2",FALSE
"SLC9A1","up","3",FALSE
"TMTC2","up","1",FALSE
"COL6A3","up","1",FALSE
"ANKRD33B","up","14",FALSE
"TCERG1","up","13",FALSE
"CSRP1","up","1",FALSE
"GDF15","up","5",FALSE
"MAK","up","5",FALSE
"FOXS1","up","1",FALSE
"UCP2","up","2",FALSE
"CXCL16","up","3",FALSE
"FGF2","up","13",FALSE
"LY96","up","14",FALSE
"CENPW","up","7",FALSE
"ROR2","up","1",FALSE
"SEMA4D","up","5",FALSE
"PTK7","up","3",FALSE
"FOXJ1","up","16",FALSE
"PTGES","up","12",FALSE
"SLCO2A1","up","18",FALSE
"STK17B","up","2",FALSE
"PIK3CG","up","2",FALSE
"ARAP2","up","13",FALSE
"TNFAIP3","up","2",FALSE
"RAB7B","up","4",FALSE
"DOCK9","up","13",FALSE
"P4HA3","up","5",FALSE
"LOC105259618","up","2",FALSE
"COTL1","up","4",FALSE
"CD48","up","4",FALSE
"TSPAN14","up","13",FALSE
"COL12A1","up","14",FALSE
"TMEM119","up","1",FALSE
"CNN2","up","1",FALSE
"IL27RA","up","3",FALSE
"ADGRA1","up","4",FALSE
"SIRPB2","up","1",FALSE
"LOC101096741","up","1",FALSE
"PIF1","up","3",FALSE
"ANGPT4","up","4",FALSE
"DUSP15","up","3",FALSE
"ATP8B2","up","1",FALSE
"SMPDL3A","up","4",FALSE
"F13A1","up","4",FALSE
"NUDT15","up","12",FALSE
"MATN4","up","3",FALSE
"SNAI1","up","12",FALSE
"LARP6","up","1",FALSE
"TPX2","up","7",FALSE
"ARHGAP27","up","7",FALSE
"TNFSF8","up","4",FALSE
"GALNT2","up","5",FALSE
"CXCR2","up","10",FALSE
"BARD1","up","7",FALSE
"S1PR3","up","1",FALSE
"LOC101096492","up","2",FALSE
"TUBB6","up","9",FALSE
"SH3BP2","up","5",FALSE
"ADAMTS14","up","1",FALSE
"LOC102899212","up","18",FALSE
"TRPM2","up","4",FALSE
"CFAP73","up","3",FALSE
"ITGB6","up","16",FALSE
"TMEM127","up","5",FALSE
"MAMDC2","up","9",FALSE
"EDN2","up","5",FALSE
"LOC101092340","up","14",FALSE
"HAUS5","up","7",FALSE
"KIF4A","up","7",FALSE
"R3HDM4","up","3",FALSE
"PTPN9","up","13",FALSE
"RASL12","up","14",FALSE
"SERPING1","up","1",FALSE
"TPM1","up","1",FALSE
"NIBAN2","up","3",FALSE
"TMEM43","up","3",FALSE
"PLOD2","up","14",FALSE
"MYADM","up","1",FALSE
"INHBA","up","12",FALSE
"FLNA","up","1",FALSE
"CENPF","up","7",FALSE
"CERK","up","1",FALSE
"SPIB","up","2",FALSE
"VIM","up","3",FALSE
"SELENOM","up","3",FALSE
"SUN1","up","16",FALSE
"SLC35B2","up","3",FALSE
"NFE2L1","up","9",FALSE
"TYROBP","up","4",FALSE
"CD74","up","4",FALSE
"LOC111556169","up","4",FALSE
"LOC111560443","up","4",FALSE
"ITGAM","up","10",FALSE
"BHLHE22","up","12",FALSE
"TLR9","up","3",FALSE
"CALU","up","1",FALSE
"IFITM5","up","17",FALSE
"RNF157","up","4",FALSE
"SCIMP","up","2",FALSE
"ANTXR1","up","1",FALSE
"OSCAR","up","4",FALSE
"MBNL1","up","13",FALSE
"TNKS1BP1","up","1",FALSE
"SLC17A9","up","2",FALSE
"NKD1","up","1",FALSE
"VCAN","up","1",FALSE
"CDC20","up","7",FALSE
"FOXP4","up","3",FALSE
"CLN5","up","10",FALSE
"TNFAIP8","up","4",FALSE
"RND1","up","12",FALSE
"KIF11","up","7",FALSE
"LOC101082424","up","2",FALSE
"GRK3","up","4",FALSE
"PWP2","up","3",FALSE
"MRC1","up","11",FALSE
"MELK","up","7",FALSE
"FXYD5","up","4",FALSE
"F2RL2","up","9",FALSE
"APOBR","up","4",FALSE
"ITGB2","up","4",FALSE
"RUNX2","up","1",FALSE
"RGS4","up","12",FALSE
"LAMA3","up","3",FALSE
"FNDC4","up","1",FALSE
"MLF1","up","3",FALSE
"BCL2L15","up","5",FALSE
"LOC102899271","up","4",FALSE
"KLHDC8A","up","6",FALSE
"SUCNR1","up","1",FALSE
"BTG3","up","6",FALSE
"PLEC","up","6",FALSE
"ISLR","up","1",FALSE
"CFB","up","12",FALSE
"PHKG1","up","3",FALSE
"ZNF114","up","2",FALSE
"B3GALNT1","up","1",FALSE
"CLEC3B","up","4",FALSE
"TLR7","up","4",FALSE
"PRIMA1","up","6",FALSE
"ENTPD1","up","9",FALSE
"OMD","up","9",FALSE
"PRPS1","up","13",FALSE
"FAM114A1","up","14",FALSE
"TUBB","up","3",FALSE
"CHI3L1","up","4",FALSE
"TRIP13","up","3",FALSE
"WDR4","up","6",FALSE
"LOC101093312","up","13",FALSE
"TIGIT","up","4",FALSE
"SETD7","up","1",FALSE
"PPP2R2C","up","18",FALSE
"WDR55","up","9",FALSE
"VAV1","up","2",FALSE
"LRRFIP1","up","3",FALSE
"CARD19","up","15",FALSE
"SP100","up","4",FALSE
"TP53TG5","up","3",FALSE
"MYOC","up","2",FALSE
"GIMAP6","up","2",FALSE
"GPR25","up","2",FALSE
"CTTNBP2NL","up","14",FALSE
"DCDC2","up","16",FALSE
"UPK3B","up","5",FALSE
"SRPX","up","1",FALSE
"SLAMF1","up","2",FALSE
"OGFRL1","up","11",FALSE
"LAX1","up","2",FALSE
"TLR1","up","10",FALSE
"MMP11","up","1",FALSE
"MAMLD1","up","14",FALSE
"TRPV2","up","4",FALSE
"MAP1A","up","1",FALSE
"CENPE","up","7",FALSE
"DGKG","up","5",FALSE
"IFNGR1","up","10",FALSE
"EGR3","up","12",FALSE
"CARS1","up","7",FALSE
"CRLF2","up","4",FALSE
"DKC1","up","6",FALSE
"AEN","up","7",FALSE
"CDK1","up","7",FALSE
"WDR1","up","5",FALSE
"FOXM1","up","7",FALSE
"SLC39A7","up","9",FALSE
"ST6GALNAC4","up","9",FALSE
"ADAM19","up","4",FALSE
"FOXF2","up","1",FALSE
"CYTH4","up","2",FALSE
"ZNF436","up","14",FALSE
"ARL4A","up","10",FALSE
"SCML4","up","2",FALSE
"ABCG1","up","3",FALSE
"FOSL1","up","4",FALSE
"SLC4A7","up","13",FALSE
"DLGAP4","up","15",FALSE
"ARPC1B","up","4",FALSE
"MYBL2","up","7",FALSE
"MCM2","up","7",FALSE
"PTPRE","up","4",FALSE
"LRRC71","up","3",FALSE
"DOCK6","up","7",FALSE
"CRLF3","up","2",FALSE
"ZCCHC24","up","1",FALSE
"FASTKD1","up","11",FALSE
"CORO1C","up","9",FALSE
"LOC102900156","up","3",FALSE
"EMB","up","2",FALSE
"BMP3","up","7",FALSE
"LCP2","up","4",FALSE
"GSTM3","up","1",FALSE
"CD109","up","1",FALSE
"TNFRSF11A","up","4",FALSE
"LAMB1","up","5",FALSE
"WIPF1","up","2",FALSE
"GRHL3","up","18",FALSE
"KIF20A","up","7",FALSE
"RHOB","up","9",FALSE
"PISD","up","6",FALSE
"ATP10A","up","1",FALSE
"TIGAR","up","8",FALSE
"STX1A","up","3",FALSE
"NEDD9","up","3",FALSE
"MTMR11","up","1",FALSE
"ZNF367","up","5",FALSE
"BMP1","up","3",FALSE
"KLHL6","up","2",FALSE
"BUB1","up","7",FALSE
"ARHGDIB","up","13",FALSE
"ANKRD52","up","1",FALSE
"OLFML2B","up","1",FALSE
"ACLY","up","12",FALSE
"TMEM154","up","2",FALSE
"SERPINB8","up","3",FALSE
"RGS16","up","12",FALSE
"METTL2A","up","9",FALSE
"PRC1","up","7",FALSE
"CIITA","up","2",FALSE
"GLI2","up","1",FALSE
"VPS37B","up","15",FALSE
"DPYSL2","up","3",FALSE
"XPO6","up","3",FALSE
"PHC2","up","3",FALSE
"FBN1","up","1",FALSE
"COL7A1","up","1",FALSE
"SPIDR","up","3",FALSE
"GBP5","up","2",FALSE
"RSPO3","up","9",FALSE
"POC1A","up","5",FALSE
"NUSAP1","up","7",FALSE
"FAM3C","up","13",FALSE
"TMSB4X","up","3",FALSE
"ARL11","up","4",FALSE
"MAD2L1","up","13",FALSE
"WNT4","up","3",FALSE
"PUM3","up","9",FALSE
"LOC101101025","up","2",FALSE
"CB4H12orf75","up","1",FALSE
"IFNAR2","up","4",FALSE
"CMTM3","up","1",FALSE
"PDGFRB","up","1",FALSE
"PILRA","up","4",FALSE
"BUD23","up","18",FALSE
"LGALS3","up","3",FALSE
"LOC105259729","up","7",FALSE
"SLC41A2","up","16",FALSE
"CCNB1","up","8",FALSE
"ADGRG1","up","16",FALSE
"RSKR","up","11",FALSE
"NOP16","up","6",FALSE
"PFN1","up","3",FALSE
"SLC22A3","up","4",FALSE
"TUBB2B","up","3",FALSE
"MMRN1","up","13",FALSE
"LCNL1","up","3",FALSE
"ITGB1","up","14",FALSE
"PRRX2","up","1",FALSE
"SCARF2","up","1",FALSE
"DAGLB","up","5",FALSE
"EFHD2","up","3",FALSE
"RABGEF1","up","14",FALSE
"WIPI1","up","10",FALSE
"SLC51A","up","8",FALSE
"RIPK2","up","10",FALSE
"MYO1F","up","4",FALSE
"LOC101082822","up","4",FALSE
"NCF4","up","4",FALSE
"CARD8","up","10",FALSE
"FAM104A","up","6",FALSE
"FCHSD1","up","2",FALSE
"MAP7D3","up","1",FALSE
"KCNK10","up","18",FALSE
"INPP5F","up","5",FALSE
"CCDC40","up","15",FALSE
"KIF18B","up","7",FALSE
"TACC3","up","4",FALSE
"LEF1","up","3",FALSE
"EVPL","up","12",FALSE
